asym     identity renorm=False mask=causal beta= 2.0 | F nonincr steps=0.666 seeds mono=0.58 | H seeds mono=0.92 | F -102.66->-4298200520651892223639552.00 norm=1945338407828.30
asym     identity renorm=False mask=causal beta= 4.0 | F nonincr steps=0.747 seeds mono=0.67 | H seeds mono=0.67 | F -51.42->-4592557669238205239525376.00 norm=1836856406124.58
asym     identity renorm=False mask=causal beta= 8.0 | F nonincr steps=0.749 seeds mono=0.67 | H seeds mono=0.75 | F -25.89->-5050730716137804854722560.00 norm=1745198958171.95
asym     random   renorm=True  mask=None   beta= 0.5 | F nonincr steps=0.500 seeds mono=0.00 | H seeds mono=0.00 | F -532.35->-531.69 norm=1.00
asym     random   renorm=True  mask=None   beta= 1.0 | F nonincr steps=0.499 seeds mono=0.00 | H seeds mono=0.00 | F -266.19->-265.51 norm=1.00
asym     random   renorm=True  mask=None   beta= 2.0 | F nonincr steps=0.496 seeds mono=0.00 | H seeds mono=0.00 | F -133.14->-132.41 norm=1.00
asym     random   renorm=True  mask=None   beta= 4.0 | F nonincr steps=0.492 seeds mono=0.00 | H seeds mono=0.00 | F -66.66->-65.83 norm=1.00
asym     random   renorm=True  mask=None   beta= 8.0 | F nonincr steps=0.483 seeds mono=0.00 | H seeds mono=0.00 | F -33.50->-32.44 norm=1.00
asym     random   renorm=True  mask=causal beta= 0.5 | F nonincr steps=0.461 seeds mono=0.00 | H seeds mono=0.00 | F -410.34->-409.96 norm=1.00
asym     random   renorm=True  mask=causal beta= 1.0 | F nonincr steps=0.460 seeds mono=0.00 | H seeds mono=0.00 | F -205.19->-204.80 norm=1.00
asym     random   renorm=True  mask=causal beta= 2.0 | F nonincr steps=0.460 seeds mono=0.00 | H seeds mono=0.00 | F -102.63->-102.21 norm=1.00
asym     random   renorm=True  mask=causal beta= 4.0 | F nonincr steps=0.459 seeds mono=0.00 | H seeds mono=0.00 | F -51.39->-50.92 norm=1.00
asym     random   renorm=True  mask=causal beta= 8.0 | F nonincr steps=0.459 seeds mono=0.00 | H seeds mono=0.00 | F -25.86->-25.27 norm=1.00
asym     random   renorm=False mask=None   beta= 0.5 | F nonincr steps=0.521 seeds mono=0.00 | H seeds mono=0.08 | F -532.35->-55765242583528964620288.00 norm=132330886388.22
